name,id,duration_ms_x,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms_y,time_signature,end_of_fade_in,start_of_fade_out,analysis_sample_rate,error
Weightless,3kAP0z157CXPmZl0Dy7iuq,244076,False,26,0.698,0.739,11.0,-8.204,0.0,0.0373,0.0273,0.00816,0.403,0.298,120.03,audio_features,spotify:track:3kAP0z157CXPmZl0Dy7iuq,https://api.spotify.com/v1/tracks/3kAP0z157CXPmZl0Dy7iuq,https://api.spotify.com/v1/audio-analysis/3kAP0z157CXPmZl0Dy7iuq,244076.0,4.0,0.0,238.62567,22050,
So Close,7FjZU7XFs7P9jHI9Z0yRhK,190302,False,75,0.7,0.872,10.0,-5.896,1.0,0.0666,0.121,7.08e-06,0.103,0.761,125.03,audio_features,spotify:track:7FjZU7XFs7P9jHI9Z0yRhK,https://api.spotify.com/v1/tracks/7FjZU7XFs7P9jHI9Z0yRhK,https://api.spotify.com/v1/audio-analysis/7FjZU7XFs7P9jHI9Z0yRhK,190302.0,4.0,0.08127,187.27473,22050,
Open Wound (ODESZA Remix),7emCxl4TH9ZIizQMOTARh9,222857,False,45,0.632,0.762,3.0,-9.018,0.0,0.162,0.013,0.502,0.145,0.418,140.039,audio_features,spotify:track:7emCxl4TH9ZIizQMOTARh9,https://api.spotify.com/v1/tracks/7emCxl4TH9ZIizQMOTARh9,https://api.spotify.com/v1/audio-analysis/7emCxl4TH9ZIizQMOTARh9,222857.0,4.0,0.0,218.69135,22050,
Forever (Pt. II) (feat. Kaleem Taylor),4yvKqltUO2ogccevjmT5Yc,235240,False,45,0.516,0.808,3.0,-6.326,0.0,0.124,0.000767,0.0,0.31,0.786,94.946,audio_features,spotify:track:4yvKqltUO2ogccevjmT5Yc,https://api.spotify.com/v1/tracks/4yvKqltUO2ogccevjmT5Yc,https://api.spotify.com/v1/audio-analysis/4yvKqltUO2ogccevjmT5Yc,235240.0,4.0,0.45288,225.7502,22050,
Promises,1OCLInwojACAIRgUM4Jzx2,206936,False,34,0.625,0.774,9.0,-8.039,0.0,0.0884,0.301,0.0076,0.601,0.403,103.894,audio_features,spotify:track:1OCLInwojACAIRgUM4Jzx2,https://api.spotify.com/v1/tracks/1OCLInwojACAIRgUM4Jzx2,https://api.spotify.com/v1/audio-analysis/1OCLInwojACAIRgUM4Jzx2,206936.0,4.0,0.11787,203.30812,22050,
Hope (feat. Naomi Wild),2v7EYRJaqHg29z1jnx59yI,173931,False,32,0.822,0.6,11.0,-6.235,0.0,0.331,0.196,0.0,0.0835,0.281,142.923,audio_features,spotify:track:2v7EYRJaqHg29z1jnx59yI,https://api.spotify.com/v1/tracks/2v7EYRJaqHg29z1jnx59yI,https://api.spotify.com/v1/audio-analysis/2v7EYRJaqHg29z1jnx59yI,173931.0,4.0,0.0,171.6361,22050,
Always This Late,06JRkix5RRMRIWffxZqlGt,160941,False,48,0.542,0.585,3.0,-9.3,1.0,0.0474,0.0141,0.213,0.0929,0.337,170.046,audio_features,spotify:track:06JRkix5RRMRIWffxZqlGt,https://api.spotify.com/v1/tracks/06JRkix5RRMRIWffxZqlGt,https://api.spotify.com/v1/audio-analysis/06JRkix5RRMRIWffxZqlGt,160941.0,4.0,0.0,157.49515,22050,
Shivers,5cB0bovfcEjmgtSFguaY2j,269468,False,37,0.497,0.407,11.0,-10.786,0.0,0.0519,0.197,5.57e-05,0.133,0.245,110.253,audio_features,spotify:track:5cB0bovfcEjmgtSFguaY2j,https://api.spotify.com/v1/tracks/5cB0bovfcEjmgtSFguaY2j,https://api.spotify.com/v1/audio-analysis/5cB0bovfcEjmgtSFguaY2j,269469.0,4.0,0.07111,258.46133,22050,
Better Not (with Wafia),7n1940b6kHcaEewFSZXnXa,222865,False,71,0.783,0.537,9.0,-2.921,1.0,0.0795,0.278,0.0,0.229,0.393,113.988,audio_features,spotify:track:7n1940b6kHcaEewFSZXnXa,https://api.spotify.com/v1/tracks/7n1940b6kHcaEewFSZXnXa,https://api.spotify.com/v1/audio-analysis/7n1940b6kHcaEewFSZXnXa,222866.0,4.0,2.17687,218.33144,22050,
Early Hours,6qhqMdb1YfN1jzlOhFfHdH,176470,False,31,0.665,0.52,0.0,-12.192,1.0,0.0317,0.837,0.803,0.348,0.409,101.958,audio_features,spotify:track:6qhqMdb1YfN1jzlOhFfHdH,https://api.spotify.com/v1/tracks/6qhqMdb1YfN1jzlOhFfHdH,https://api.spotify.com/v1/audio-analysis/6qhqMdb1YfN1jzlOhFfHdH,176471.0,4.0,0.0,171.4039,22050,
Go Fuck Yourself,4NZrZgrRoR4GwR7flWOXRI,129599,True,79,0.765,0.327,6.0,-8.029,1.0,0.277,0.571,0.0479,0.0787,0.292,74.931,audio_features,spotify:track:4NZrZgrRoR4GwR7flWOXRI,https://api.spotify.com/v1/tracks/4NZrZgrRoR4GwR7flWOXRI,https://api.spotify.com/v1/audio-analysis/4NZrZgrRoR4GwR7flWOXRI,129600.0,4.0,4.92263,127.4137,22050,
I've Fallen for You,73OZcwiBI41R0o5TDGeZ7i,197777,False,45,0.813,0.532,4.0,-9.578,0.0,0.063,0.326,0.856,0.0969,0.29,107.983,audio_features,spotify:track:73OZcwiBI41R0o5TDGeZ7i,https://api.spotify.com/v1/tracks/73OZcwiBI41R0o5TDGeZ7i,https://api.spotify.com/v1/audio-analysis/73OZcwiBI41R0o5TDGeZ7i,197778.0,4.0,0.0,191.93034,22050,
Another Love - Zwette Edit,5snyhxAh55A2wlNRH7VVZJ,394573,False,66,0.87,0.554,4.0,-5.828,0.0,0.0635,0.0802,0.0739,0.115,0.462,123.998,audio_features,spotify:track:5snyhxAh55A2wlNRH7VVZJ,https://api.spotify.com/v1/tracks/5snyhxAh55A2wlNRH7VVZJ,https://api.spotify.com/v1/audio-analysis/5snyhxAh55A2wlNRH7VVZJ,394573.0,4.0,0.49918,389.02713,22050,
Chakra,53AwseSWWvXuBtcXUR42Ad,248093,False,37,0.42,0.615,10.0,-7.883,1.0,0.0403,0.00839,0.00322,0.124,0.141,181.903,audio_features,spotify:track:53AwseSWWvXuBtcXUR42Ad,https://api.spotify.com/v1/tracks/53AwseSWWvXuBtcXUR42Ad,https://api.spotify.com/v1/audio-analysis/53AwseSWWvXuBtcXUR42Ad,248093.0,4.0,0.16939,241.8126,22050,
When I Get There,2sKTYRCgUHXmIhI2hoBuZE,220000,False,65,0.694,0.483,0.0,-7.157,1.0,0.0359,0.000196,0.557,0.134,0.132,96.029,audio_features,spotify:track:2sKTYRCgUHXmIhI2hoBuZE,https://api.spotify.com/v1/tracks/2sKTYRCgUHXmIhI2hoBuZE,https://api.spotify.com/v1/audio-analysis/2sKTYRCgUHXmIhI2hoBuZE,220000.0,4.0,2.75737,201.79301,22050,
4 AM - Adam K & Soha Radio Edit,2kEHmTnCcKvBcADXLO40xk,219253,False,0,0.622,0.735,11.0,-7.538,0.0,0.0408,0.225,0.464,0.138,0.117,126.979,audio_features,spotify:track:2kEHmTnCcKvBcADXLO40xk,https://api.spotify.com/v1/tracks/2kEHmTnCcKvBcADXLO40xk,https://api.spotify.com/v1/audio-analysis/2kEHmTnCcKvBcADXLO40xk,219253.0,3.0,0.59202,211.84726,22050,
Hey Mami,4gB5Idv1iw8jgxyEvuwPVA,200160,False,53,0.768,0.749,2.0,-5.814,1.0,0.497,0.306,1.21e-05,0.397,0.605,119.931,audio_features,spotify:track:4gB5Idv1iw8jgxyEvuwPVA,https://api.spotify.com/v1/tracks/4gB5Idv1iw8jgxyEvuwPVA,https://api.spotify.com/v1/audio-analysis/4gB5Idv1iw8jgxyEvuwPVA,200160.0,4.0,0.39864,189.51546,22050,
Lost And Found (ODESZA Remix),69d67l28GKygFwW4QbyfDR,278333,False,46,0.332,0.661,9.0,-5.861,1.0,0.343,0.00275,0.0832,0.19,0.0508,90.012,audio_features,spotify:track:69d67l28GKygFwW4QbyfDR,https://api.spotify.com/v1/tracks/69d67l28GKygFwW4QbyfDR,https://api.spotify.com/v1/audio-analysis/69d67l28GKygFwW4QbyfDR,278333.0,4.0,2.12463,266.3677,22050,
NUMB,7J8aSwSVuFKekcNp1n8jDa,217296,True,50,0.617,0.558,10.0,-7.046,0.0,0.0431,0.184,1.03e-06,0.0911,0.4,147.932,audio_features,spotify:track:7J8aSwSVuFKekcNp1n8jDa,https://api.spotify.com/v1/tracks/7J8aSwSVuFKekcNp1n8jDa,https://api.spotify.com/v1/audio-analysis/7J8aSwSVuFKekcNp1n8jDa,217296.0,4.0,0.0,208.22495,22050,
Don't You Know - Radio Edit,5F2lWCeBZMxpo6SG1Q3PlL,184986,False,63,0.743,0.736,2.0,-4.849,1.0,0.0628,0.0652,0.0078,0.12,0.605,119.981,audio_features,spotify:track:5F2lWCeBZMxpo6SG1Q3PlL,https://api.spotify.com/v1/tracks/5F2lWCeBZMxpo6SG1Q3PlL,https://api.spotify.com/v1/audio-analysis/5F2lWCeBZMxpo6SG1Q3PlL,184987.0,4.0,2.92571,181.20853,22050,
The Other Side - Plvn Remix,14RZahNeXO0P8Ja3HCdpZ7,226294,False,26,0.493,0.2,0.0,-17.238,1.0,0.0341,0.406,0.89,0.0765,0.0546,139.932,audio_features,spotify:track:14RZahNeXO0P8Ja3HCdpZ7,https://api.spotify.com/v1/tracks/14RZahNeXO0P8Ja3HCdpZ7,https://api.spotify.com/v1/audio-analysis/14RZahNeXO0P8Ja3HCdpZ7,226295.0,4.0,0.0,218.60426,22050,
