name,id,duration_ms_x,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms_y,time_signature,end_of_fade_in,start_of_fade_out,analysis_sample_rate,error
Paradise (feat. Dermot Kennedy),6ft4hAq6yde8jPZY2i5zLr,167903,False,90,0.632,0.595,8.0,-7.644,0.0,0.0401,0.0689,0.0,0.209,0.435,124.114,audio_features,spotify:track:6ft4hAq6yde8jPZY2i5zLr,https://api.spotify.com/v1/tracks/6ft4hAq6yde8jPZY2i5zLr,https://api.spotify.com/v1/audio-analysis/6ft4hAq6yde8jPZY2i5zLr,167903.0,4.0,0.0,164.94295,22050,
What's Love Got to Do with It,3Be7CLdHZpyzsVijme39cW,208156,False,80,0.75,0.664,8.0,-5.908,0.0,0.154,0.275,0.0,0.0632,0.617,105.023,audio_features,spotify:track:3Be7CLdHZpyzsVijme39cW,https://api.spotify.com/v1/tracks/3Be7CLdHZpyzsVijme39cW,https://api.spotify.com/v1/audio-analysis/3Be7CLdHZpyzsVijme39cW,208156.0,4.0,0.17941,200.16762,22050,
All You Need To Know (feat. Calle Lehmann),4Gcv5SsxnQWpmOnUI19EJk,238458,False,72,0.513,0.788,0.0,-4.629,1.0,0.0364,0.00968,0.0,0.11,0.234,139.987,audio_features,spotify:track:4Gcv5SsxnQWpmOnUI19EJk,https://api.spotify.com/v1/tracks/4Gcv5SsxnQWpmOnUI19EJk,https://api.spotify.com/v1/audio-analysis/4Gcv5SsxnQWpmOnUI19EJk,238459.0,4.0,3.70939,230.09235,22050,
Dreamers,1MF0hyC0NLN0IcI4FpQKYl,181935,False,50,0.78,0.808,7.0,-4.913,1.0,0.0451,0.0428,0.000168,0.0497,0.651,123.977,audio_features,spotify:track:1MF0hyC0NLN0IcI4FpQKYl,https://api.spotify.com/v1/tracks/1MF0hyC0NLN0IcI4FpQKYl,https://api.spotify.com/v1/audio-analysis/1MF0hyC0NLN0IcI4FpQKYl,181935.0,4.0,0.47596,177.35982,22050,
Big Love (with Wrabel),0PGpWcKIlayTwPdz6Qstol,182115,False,57,0.483,0.761,8.0,-7.15,0.0,0.111,0.0418,0.0,0.158,0.478,124.068,audio_features,spotify:track:0PGpWcKIlayTwPdz6Qstol,https://api.spotify.com/v1/tracks/0PGpWcKIlayTwPdz6Qstol,https://api.spotify.com/v1/audio-analysis/0PGpWcKIlayTwPdz6Qstol,182116.0,4.0,2.17107,176.52971,22050,
We Found Love,1Sv3dxMJxj5gDybSzjxn48,205714,False,51,0.528,0.92,10.0,-3.056,0.0,0.0957,0.037,0.00427,0.364,0.439,126.029,audio_features,spotify:track:1Sv3dxMJxj5gDybSzjxn48,https://api.spotify.com/v1/tracks/1Sv3dxMJxj5gDybSzjxn48,https://api.spotify.com/v1/audio-analysis/1Sv3dxMJxj5gDybSzjxn48,205714.0,4.0,0.0,200.53333,22050,
I'll Wait,6Q3K9gVUZRMZqZKrXovbM2,215360,False,75,0.611,0.651,1.0,-6.973,1.0,0.0587,0.148,1.84e-05,0.105,0.357,122.983,audio_features,spotify:track:6Q3K9gVUZRMZqZKrXovbM2,https://api.spotify.com/v1/tracks/6Q3K9gVUZRMZqZKrXovbM2,https://api.spotify.com/v1/audio-analysis/6Q3K9gVUZRMZqZKrXovbM2,215361.0,4.0,0.2317,210.37859,22050,
High On Life (feat. Bonn),4ut5G4rgB1ClpMTMfjoIuy,230761,False,73,0.414,0.486,6.0,-6.431,0.0,0.0311,0.0129,0.0,0.111,0.368,128.038,audio_features,spotify:track:4ut5G4rgB1ClpMTMfjoIuy,https://api.spotify.com/v1/tracks/4ut5G4rgB1ClpMTMfjoIuy,https://api.spotify.com/v1/audio-analysis/4ut5G4rgB1ClpMTMfjoIuy,230762.0,4.0,3.959,220.02068,22050,
Good Guys,4lIg6U4wRqnhJUrLojwVh1,175000,False,45,0.609,0.918,1.0,-3.116,1.0,0.0969,0.00147,0.0,0.33,0.625,124.023,audio_features,spotify:track:4lIg6U4wRqnhJUrLojwVh1,https://api.spotify.com/v1/tracks/4lIg6U4wRqnhJUrLojwVh1,https://api.spotify.com/v1/audio-analysis/4lIg6U4wRqnhJUrLojwVh1,175000.0,4.0,0.35415,170.62022,22050,
Lost with You,73gVOooT9hkJZ3DgVMFmGT,165047,False,64,0.668,0.877,4.0,-6.14,0.0,0.0705,0.0925,8.97e-06,0.203,0.637,111.971,audio_features,spotify:track:73gVOooT9hkJZ3DgVMFmGT,https://api.spotify.com/v1/tracks/73gVOooT9hkJZ3DgVMFmGT,https://api.spotify.com/v1/audio-analysis/73gVOooT9hkJZ3DgVMFmGT,165047.0,4.0,0.0,161.95918,22050,
Higher Love,6oJ6le65B3SEqPwMRNXWjY,228267,False,82,0.693,0.678,8.0,-7.159,1.0,0.0324,0.0154,6.05e-06,0.101,0.404,103.952,audio_features,spotify:track:6oJ6le65B3SEqPwMRNXWjY,https://api.spotify.com/v1/tracks/6oJ6le65B3SEqPwMRNXWjY,https://api.spotify.com/v1/audio-analysis/6oJ6le65B3SEqPwMRNXWjY,228267.0,4.0,0.20313,222.22658,22050,
Letters,21te7Pz3VowOuFho1nfdR0,191000,False,62,0.634,0.771,7.0,-7.727,1.0,0.0394,0.00855,0.0,0.29,0.575,121.984,audio_features,spotify:track:21te7Pz3VowOuFho1nfdR0,https://api.spotify.com/v1/tracks/21te7Pz3VowOuFho1nfdR0,https://api.spotify.com/v1/audio-analysis/21te7Pz3VowOuFho1nfdR0,191000.0,4.0,0.0,186.195,22050,
Breathe - Dimitri Vangelis & Wyman Remix,2sqGeBzroZlz9d0AZgoQ3B,198948,False,50,0.517,0.683,7.0,-3.867,0.0,0.073,0.0215,1.6e-06,0.0954,0.15,128.151,audio_features,spotify:track:2sqGeBzroZlz9d0AZgoQ3B,https://api.spotify.com/v1/tracks/2sqGeBzroZlz9d0AZgoQ3B,https://api.spotify.com/v1/audio-analysis/2sqGeBzroZlz9d0AZgoQ3B,198949.0,4.0,0.0,188.59247,22050,
The Answer (featuring Arthur Baker & Victor Simonelli),5whiPPRn248jYANBCMzQoB,203720,False,65,0.728,0.898,10.0,-4.652,0.0,0.125,0.0433,0.0536,0.261,0.502,125.974,audio_features,spotify:track:5whiPPRn248jYANBCMzQoB,https://api.spotify.com/v1/tracks/5whiPPRn248jYANBCMzQoB,https://api.spotify.com/v1/audio-analysis/5whiPPRn248jYANBCMzQoB,203720.0,4.0,0.0,196.86458,22050,
Dancing on Your Own,6JleyZldNFQxcwBL3LgF95,145161,False,54,0.774,0.809,0.0,-6.393,1.0,0.0464,0.249,0.0,0.136,0.519,123.97,audio_features,spotify:track:6JleyZldNFQxcwBL3LgF95,https://api.spotify.com/v1/tracks/6JleyZldNFQxcwBL3LgF95,https://api.spotify.com/v1/audio-analysis/6JleyZldNFQxcwBL3LgF95,145161.0,4.0,2.57161,140.03955,22050,
In Control - Sotschi Remix,7HksIl28vSyYGRG6mLufDa,173333,False,48,0.833,0.846,7.0,-6.651,1.0,0.0913,0.00271,5.17e-06,0.0772,0.634,126.038,audio_features,spotify:track:7HksIl28vSyYGRG6mLufDa,https://api.spotify.com/v1/tracks/7HksIl28vSyYGRG6mLufDa,https://api.spotify.com/v1/audio-analysis/7HksIl28vSyYGRG6mLufDa,173333.0,4.0,2.5542,168.69878,22050,
NOPUS,02dPa4nXABwnFzjZosKxsk,200210,False,64,0.494,0.938,3.0,-4.828,1.0,0.0402,0.00117,0.952,0.118,0.17,127.004,audio_features,spotify:track:02dPa4nXABwnFzjZosKxsk,https://api.spotify.com/v1/tracks/02dPa4nXABwnFzjZosKxsk,https://api.spotify.com/v1/audio-analysis/02dPa4nXABwnFzjZosKxsk,200211.0,4.0,0.0,188.33125,22050,
You,48pPiD01arCZeI8Pehoh3R,136551,False,41,0.71,0.583,10.0,-6.736,1.0,0.175,0.231,7.61e-05,0.128,0.657,173.94,audio_features,spotify:track:48pPiD01arCZeI8Pehoh3R,https://api.spotify.com/v1/tracks/48pPiD01arCZeI8Pehoh3R,https://api.spotify.com/v1/audio-analysis/48pPiD01arCZeI8Pehoh3R,136552.0,4.0,2.08399,132.91103,22050,
Don't Say Goodbye (feat. Tove Lo),0GTPmh5G40joBg93vcSQNq,186700,False,81,0.698,0.719,0.0,-4.923,0.0,0.0455,0.00829,4.01e-06,0.326,0.364,120.062,audio_features,spotify:track:0GTPmh5G40joBg93vcSQNq,https://api.spotify.com/v1/tracks/0GTPmh5G40joBg93vcSQNq,https://api.spotify.com/v1/audio-analysis/0GTPmh5G40joBg93vcSQNq,186700.0,4.0,0.11066,182.3463,22050,
Turn Back Time,27bZ77uG7mEhydpaPvThR6,147260,False,68,0.751,0.783,10.0,-7.974,0.0,0.0332,0.176,0.000933,0.114,0.398,123.998,audio_features,spotify:track:27bZ77uG7mEhydpaPvThR6,https://api.spotify.com/v1/tracks/27bZ77uG7mEhydpaPvThR6,https://api.spotify.com/v1/audio-analysis/27bZ77uG7mEhydpaPvThR6,147261.0,4.0,0.0,139.78413,22050,
Let's Love,6lhZLbb0czULpjb2kFryPS,200645,False,83,0.662,0.868,5.0,-4.025,1.0,0.0341,0.00882,0.00244,0.584,0.353,92.998,audio_features,spotify:track:6lhZLbb0czULpjb2kFryPS,https://api.spotify.com/v1/tracks/6lhZLbb0czULpjb2kFryPS,https://api.spotify.com/v1/audio-analysis/6lhZLbb0czULpjb2kFryPS,200645.0,4.0,0.17283,195.41914,22050,
Calama,0yDW2RcGNztpoMQUUIFDTe,220731,False,41,0.785,0.958,4.0,-7.963,0.0,0.0819,0.00193,0.81,0.212,0.43,123.0,audio_features,spotify:track:0yDW2RcGNztpoMQUUIFDTe,https://api.spotify.com/v1/tracks/0yDW2RcGNztpoMQUUIFDTe,https://api.spotify.com/v1/audio-analysis/0yDW2RcGNztpoMQUUIFDTe,220732.0,4.0,0.23778,215.92816,22050,
Body Back (feat. Maia Wright),1z1XegUChLLQfcbtIK8ABn,214634,False,71,0.686,0.83,8.0,-4.437,1.0,0.0369,0.0948,1.33e-06,0.182,0.486,123.032,audio_features,spotify:track:1z1XegUChLLQfcbtIK8ABn,https://api.spotify.com/v1/tracks/1z1XegUChLLQfcbtIK8ABn,https://api.spotify.com/v1/audio-analysis/1z1XegUChLLQfcbtIK8ABn,214634.0,4.0,0.06989,203.37778,22050,
Dont Know Where to Go,7MiASaLoCKd4oi4EIJbI1r,138688,False,66,0.722,0.825,7.0,-5.126,0.0,0.044,0.227,0.0,0.495,0.551,121.991,audio_features,spotify:track:7MiASaLoCKd4oi4EIJbI1r,https://api.spotify.com/v1/tracks/7MiASaLoCKd4oi4EIJbI1r,https://api.spotify.com/v1/audio-analysis/7MiASaLoCKd4oi4EIJbI1r,138688.0,4.0,2.22331,135.39555,22050,
Coming Home,09sKH3nKtVZ6ovDReYRAu0,207998,False,66,0.614,0.921,2.0,-4.199,1.0,0.0625,0.0205,9.67e-06,0.119,0.427,127.964,audio_features,spotify:track:09sKH3nKtVZ6ovDReYRAu0,https://api.spotify.com/v1/tracks/09sKH3nKtVZ6ovDReYRAu0,https://api.spotify.com/v1/audio-analysis/09sKH3nKtVZ6ovDReYRAu0,207999.0,4.0,0.0,203.42422,22050,
Wasted Love,45rIxs9g14QSpAy01LOroj,157067,False,46,0.51,0.653,7.0,-5.329,1.0,0.0679,0.0339,3.44e-06,0.362,0.266,103.956,audio_features,spotify:track:45rIxs9g14QSpAy01LOroj,https://api.spotify.com/v1/tracks/45rIxs9g14QSpAy01LOroj,https://api.spotify.com/v1/audio-analysis/45rIxs9g14QSpAy01LOroj,157067.0,4.0,0.08703,149.80354,22050,
Missing (feat. Chacel),3E0dnSKL5KsQa6CH74py0j,177013,False,62,0.641,0.884,9.0,-6.798,0.0,0.0417,0.00456,0.000323,0.112,0.173,124.034,audio_features,spotify:track:3E0dnSKL5KsQa6CH74py0j,https://api.spotify.com/v1/tracks/3E0dnSKL5KsQa6CH74py0j,https://api.spotify.com/v1/audio-analysis/3E0dnSKL5KsQa6CH74py0j,177013.0,4.0,0.1683,168.90776,22050,
Anything,48fPdAwGVoSkGK8GSez9yx,226000,False,69,0.768,0.908,5.0,-5.014,0.0,0.0486,0.184,0.546,0.0583,0.423,120.042,audio_features,spotify:track:48fPdAwGVoSkGK8GSez9yx,https://api.spotify.com/v1/tracks/48fPdAwGVoSkGK8GSez9yx,https://api.spotify.com/v1/audio-analysis/48fPdAwGVoSkGK8GSez9yx,226000.0,4.0,0.0,223.20181,22050,
SUCKER,4yyeZogmejRkdMwjS2JiOR,159360,False,40,0.727,0.686,11.0,-2.857,0.0,0.284,0.11,5.47e-06,0.267,0.437,124.974,audio_features,spotify:track:4yyeZogmejRkdMwjS2JiOR,https://api.spotify.com/v1/tracks/4yyeZogmejRkdMwjS2JiOR,https://api.spotify.com/v1/audio-analysis/4yyeZogmejRkdMwjS2JiOR,159360.0,4.0,0.42952,155.40535,22050,
Head & Heart (feat. MNEK) - Tiësto Remix,1ohLQfIwj9NUN7e5UKeDl9,124778,False,68,0.693,0.866,5.0,-4.964,0.0,0.0498,0.0689,0.0,0.145,0.663,126.002,audio_features,spotify:track:1ohLQfIwj9NUN7e5UKeDl9,https://api.spotify.com/v1/tracks/1ohLQfIwj9NUN7e5UKeDl9,https://api.spotify.com/v1/audio-analysis/1ohLQfIwj9NUN7e5UKeDl9,124778.0,4.0,2.10721,124.77823,22050,
I Want It All,3oSCJeOl0XjcpNcigO9vj7,191834,False,62,0.612,0.726,1.0,-5.934,1.0,0.036,0.0374,2e-06,0.105,0.478,119.964,audio_features,spotify:track:3oSCJeOl0XjcpNcigO9vj7,https://api.spotify.com/v1/tracks/3oSCJeOl0XjcpNcigO9vj7,https://api.spotify.com/v1/audio-analysis/3oSCJeOl0XjcpNcigO9vj7,191835.0,4.0,0.0,185.21397,22050,
Knockin' on Heaven's Door,6SP6csQxrM9BXrgpGNkgNJ,172244,False,43,0.6,0.805,0.0,-6.752,1.0,0.0346,0.0175,0.0346,0.11,0.359,131.925,audio_features,spotify:track:6SP6csQxrM9BXrgpGNkgNJ,https://api.spotify.com/v1/tracks/6SP6csQxrM9BXrgpGNkgNJ,https://api.spotify.com/v1/audio-analysis/6SP6csQxrM9BXrgpGNkgNJ,172245.0,4.0,0.23098,161.61089,22050,
Sooner or Later,5REP3iCVc7WqUMuDjINmS2,141581,False,48,0.639,0.72,8.0,-7.04,1.0,0.0291,0.52,0.000379,0.131,0.583,124.035,audio_features,spotify:track:5REP3iCVc7WqUMuDjINmS2,https://api.spotify.com/v1/tracks/5REP3iCVc7WqUMuDjINmS2,https://api.spotify.com/v1/audio-analysis/5REP3iCVc7WqUMuDjINmS2,141581.0,4.0,0.21474,138.77406,22050,
New with Me,2BSbqTPeG9bzx5oHUmhZW1,169043,False,48,0.761,0.747,11.0,-5.405,0.0,0.0394,0.425,4.96e-05,0.0986,0.446,119.979,audio_features,spotify:track:2BSbqTPeG9bzx5oHUmhZW1,https://api.spotify.com/v1/tracks/2BSbqTPeG9bzx5oHUmhZW1,https://api.spotify.com/v1/audio-analysis/2BSbqTPeG9bzx5oHUmhZW1,169043.0,4.0,0.0,165.20416,22050,
Out of Here,5QrvxcbduPMIOZkBjgE6tp,164761,False,59,0.778,0.877,4.0,-3.619,0.0,0.0562,0.146,0.0149,0.352,0.739,125.974,audio_features,spotify:track:5QrvxcbduPMIOZkBjgE6tp,https://api.spotify.com/v1/tracks/5QrvxcbduPMIOZkBjgE6tp,https://api.spotify.com/v1/audio-analysis/5QrvxcbduPMIOZkBjgE6tp,164762.0,4.0,0.17982,159.20181,22050,
Use Your Love (feat. Goldford),5W05N4aETUauCVzddI8L66,174720,False,63,0.712,0.776,6.0,-3.341,1.0,0.0802,0.401,0.0,0.296,0.659,124.977,audio_features,spotify:track:5W05N4aETUauCVzddI8L66,https://api.spotify.com/v1/tracks/5W05N4aETUauCVzddI8L66,https://api.spotify.com/v1/audio-analysis/5W05N4aETUauCVzddI8L66,174720.0,4.0,0.0,171.9728,22050,
Someone Else,2tGbnQqqx2kvbcQU73rBpO,164869,False,50,0.717,0.783,3.0,-4.919,1.0,0.0453,0.121,0.0,0.166,0.528,115.05,audio_features,spotify:track:2tGbnQqqx2kvbcQU73rBpO,https://api.spotify.com/v1/tracks/2tGbnQqqx2kvbcQU73rBpO,https://api.spotify.com/v1/audio-analysis/2tGbnQqqx2kvbcQU73rBpO,164870.0,4.0,0.0,159.93906,22050,
Another Way Out,5D62Rm6FhlxnVOMkKbve3H,156190,False,48,0.801,0.91,5.0,-6.172,0.0,0.0792,0.0222,0.0751,0.0531,0.256,126.031,audio_features,spotify:track:5D62Rm6FhlxnVOMkKbve3H,https://api.spotify.com/v1/tracks/5D62Rm6FhlxnVOMkKbve3H,https://api.spotify.com/v1/audio-analysis/5D62Rm6FhlxnVOMkKbve3H,156190.0,4.0,3.15211,153.56517,22050,
Heaven,0vrmHPfoBadXVr2n0m1aqZ,277261,False,74,0.592,0.873,9.0,-5.65,1.0,0.0275,0.0715,0.00982,0.142,0.516,122.011,audio_features,spotify:track:0vrmHPfoBadXVr2n0m1aqZ,https://api.spotify.com/v1/tracks/0vrmHPfoBadXVr2n0m1aqZ,https://api.spotify.com/v1/audio-analysis/0vrmHPfoBadXVr2n0m1aqZ,277262.0,4.0,2.85025,270.24545,22050,
KNOW ME (feat. Gallant) - Cassian Remix,2F0ZLn3nqS6z9hD27qiDgX,313013,False,55,0.594,0.898,2.0,-7.434,1.0,0.0332,0.00149,0.825,0.118,0.0391,125.004,audio_features,spotify:track:2F0ZLn3nqS6z9hD27qiDgX,https://api.spotify.com/v1/tracks/2F0ZLn3nqS6z9hD27qiDgX,https://api.spotify.com/v1/audio-analysis/2F0ZLn3nqS6z9hD27qiDgX,313014.0,4.0,0.20363,307.04907,22050,
Astronomia,1de3M5lQP84bRQu3DVvMVH,166875,False,41,0.74,0.871,6.0,-4.234,0.0,0.0591,0.12,0.00151,0.0552,0.23,128.004,audio_features,spotify:track:1de3M5lQP84bRQu3DVvMVH,https://api.spotify.com/v1/tracks/1de3M5lQP84bRQu3DVvMVH,https://api.spotify.com/v1/audio-analysis/1de3M5lQP84bRQu3DVvMVH,166875.0,4.0,2.13043,162.37134,22050,
Poppin' Pills,1HqKLwqOoqqEoKx0yUwRdS,190080,False,41,0.759,0.99,10.0,-9.697,1.0,0.0541,0.0185,0.891,0.0929,0.749,125.02,audio_features,spotify:track:1HqKLwqOoqqEoKx0yUwRdS,https://api.spotify.com/v1/tracks/1HqKLwqOoqqEoKx0yUwRdS,https://api.spotify.com/v1/audio-analysis/1HqKLwqOoqqEoKx0yUwRdS,190080.0,4.0,0.0,187.41406,22050,
Forever Yours - Avicii Tribute,3o1CUVeHIid49sabk6A6Nf,193846,False,70,0.529,0.612,10.0,-8.794,1.0,0.052,0.253,0.0,0.246,0.434,119.272,audio_features,spotify:track:3o1CUVeHIid49sabk6A6Nf,https://api.spotify.com/v1/tracks/3o1CUVeHIid49sabk6A6Nf,https://api.spotify.com/v1/audio-analysis/3o1CUVeHIid49sabk6A6Nf,193847.0,4.0,0.23243,188.23256,22050,
Like This,1RZc3mEB7kp0VYeKHorILL,144761,False,50,0.647,0.938,0.0,-6.1,1.0,0.0632,0.00538,0.00555,0.187,0.176,126.018,audio_features,spotify:track:1RZc3mEB7kp0VYeKHorILL,https://api.spotify.com/v1/tracks/1RZc3mEB7kp0VYeKHorILL,https://api.spotify.com/v1/audio-analysis/1RZc3mEB7kp0VYeKHorILL,144762.0,4.0,0.0,140.01633,22050,
Lucky,4qVKUlRQAQwIRhGlPm4lyg,181518,False,46,0.69,0.843,11.0,-6.49,1.0,0.0319,0.0702,4.37e-06,0.0773,0.356,118.982,audio_features,spotify:track:4qVKUlRQAQwIRhGlPm4lyg,https://api.spotify.com/v1/tracks/4qVKUlRQAQwIRhGlPm4lyg,https://api.spotify.com/v1/audio-analysis/4qVKUlRQAQwIRhGlPm4lyg,181519.0,4.0,0.0,176.13496,22050,
Need You Now,0iCAeRhE6UyV3dpxyKR89h,160000,False,41,0.639,0.785,4.0,-6.58,0.0,0.105,0.011,0.00121,0.798,0.0596,125.974,audio_features,spotify:track:0iCAeRhE6UyV3dpxyKR89h,https://api.spotify.com/v1/tracks/0iCAeRhE6UyV3dpxyKR89h,https://api.spotify.com/v1/audio-analysis/0iCAeRhE6UyV3dpxyKR89h,160000.0,4.0,0.0,160.0,22050,
Blame It on Me,5jeYd7qn3XYheYDjnV3K63,180948,False,63,0.666,0.73,0.0,-5.851,0.0,0.0558,0.118,7.37e-05,0.156,0.493,124.96,audio_features,spotify:track:5jeYd7qn3XYheYDjnV3K63,https://api.spotify.com/v1/tracks/5jeYd7qn3XYheYDjnV3K63,https://api.spotify.com/v1/audio-analysis/5jeYd7qn3XYheYDjnV3K63,180949.0,4.0,0.0,171.45033,22050,
Don't Call Me - Galantis Remix,2fqOoMYcIis4GCromnIcdz,184076,False,30,0.624,0.846,0.0,-4.201,1.0,0.0421,0.167,1.27e-06,0.393,0.467,122.985,audio_features,spotify:track:2fqOoMYcIis4GCromnIcdz,https://api.spotify.com/v1/tracks/2fqOoMYcIis4GCromnIcdz,https://api.spotify.com/v1/audio-analysis/2fqOoMYcIis4GCromnIcdz,184076.0,4.0,0.0,177.30757,22050,
Acapulco,3gvyltdHNp497VYGRAyiKb,156774,False,25,0.73,0.769,2.0,-8.234,1.0,0.0474,0.00426,0.66,0.194,0.581,123.991,audio_features,spotify:track:3gvyltdHNp497VYGRAyiKb,https://api.spotify.com/v1/tracks/3gvyltdHNp497VYGRAyiKb,https://api.spotify.com/v1/audio-analysis/3gvyltdHNp497VYGRAyiKb,156774.0,4.0,0.0,153.97153,22050,
Birdcall (Tom Ferry Remix),762bwgRTmw6M0BDYTXePDI,150982,False,53,0.656,0.795,2.0,-7.663,0.0,0.0454,0.00154,0.058,0.136,0.356,124.016,audio_features,spotify:track:762bwgRTmw6M0BDYTXePDI,https://api.spotify.com/v1/tracks/762bwgRTmw6M0BDYTXePDI,https://api.spotify.com/v1/audio-analysis/762bwgRTmw6M0BDYTXePDI,150982.0,4.0,0.0,146.53532,22050,
Sevilla,0dgCZ0nQYVanCeDdippbAK,207096,False,43,0.813,0.858,1.0,-8.661,1.0,0.0464,0.00227,0.852,0.096,0.673,124.005,audio_features,spotify:track:0dgCZ0nQYVanCeDdippbAK,https://api.spotify.com/v1/tracks/0dgCZ0nQYVanCeDdippbAK,https://api.spotify.com/v1/audio-analysis/0dgCZ0nQYVanCeDdippbAK,207097.0,4.0,2.35102,202.29224,22050,
Midnight (feat. Liam Payne) (Alesso & ESH Remix),7CmC8DGB2cCyfvZ0RN31Ak,218276,False,48,0.663,0.865,11.0,-3.703,0.0,0.0385,0.0108,0.00177,0.119,0.909,125.955,audio_features,spotify:track:7CmC8DGB2cCyfvZ0RN31Ak,https://api.spotify.com/v1/tracks/7CmC8DGB2cCyfvZ0RN31Ak,https://api.spotify.com/v1/audio-analysis/7CmC8DGB2cCyfvZ0RN31Ak,218277.0,4.0,0.0,212.54385,22050,
Shadow Side,4xhSe2VYQbWBugfm8O4UW8,168557,False,48,0.462,0.64,5.0,-7.905,1.0,0.0318,0.0155,0.0,0.317,0.594,102.162,audio_features,spotify:track:4xhSe2VYQbWBugfm8O4UW8,https://api.spotify.com/v1/tracks/4xhSe2VYQbWBugfm8O4UW8,https://api.spotify.com/v1/audio-analysis/4xhSe2VYQbWBugfm8O4UW8,168557.0,4.0,0.09388,163.87483,22050,
Oh My My,7dalRqNt2t6O9lWp5cuMyE,155475,False,47,0.743,0.387,6.0,-14.416,1.0,0.0469,0.0853,1.39e-06,0.0793,0.593,122.022,audio_features,spotify:track:7dalRqNt2t6O9lWp5cuMyE,https://api.spotify.com/v1/tracks/7dalRqNt2t6O9lWp5cuMyE,https://api.spotify.com/v1/audio-analysis/7dalRqNt2t6O9lWp5cuMyE,155476.0,4.0,0.0,148.40454,22050,
Keep Me Close,6GifPmBMc0n2Gs3zfRkB5D,177624,False,51,0.498,0.934,6.0,-3.445,1.0,0.0394,0.00398,0.586,0.0823,0.277,128.029,audio_features,spotify:track:6GifPmBMc0n2Gs3zfRkB5D,https://api.spotify.com/v1/tracks/6GifPmBMc0n2Gs3zfRkB5D,https://api.spotify.com/v1/audio-analysis/6GifPmBMc0n2Gs3zfRkB5D,177625.0,4.0,0.0,170.92789,22050,
All In,5uIxXUSzyX1F9dSHEopnrS,166779,False,51,0.749,0.644,9.0,-7.26,1.0,0.0415,0.0429,1.5e-06,0.489,0.426,118.024,audio_features,spotify:track:5uIxXUSzyX1F9dSHEopnrS,https://api.spotify.com/v1/tracks/5uIxXUSzyX1F9dSHEopnrS,https://api.spotify.com/v1/audio-analysis/5uIxXUSzyX1F9dSHEopnrS,166780.0,4.0,0.0,153.74512,22050,
Avenyn,7umP3KqBcmJVlyPy6ZvFw3,169920,False,41,0.63,0.952,7.0,-7.271,1.0,0.0421,0.0338,0.875,0.389,0.396,125.016,audio_features,spotify:track:7umP3KqBcmJVlyPy6ZvFw3,https://api.spotify.com/v1/tracks/7umP3KqBcmJVlyPy6ZvFw3,https://api.spotify.com/v1/audio-analysis/7umP3KqBcmJVlyPy6ZvFw3,169920.0,4.0,2.85605,163.77034,22050,
Sweet Life,71JbTl4uCu1T4WO2AYvSWz,161814,False,48,0.467,0.895,9.0,-5.725,1.0,0.0344,0.00365,0.0622,0.388,0.546,124.978,audio_features,spotify:track:71JbTl4uCu1T4WO2AYvSWz,https://api.spotify.com/v1/tracks/71JbTl4uCu1T4WO2AYvSWz,https://api.spotify.com/v1/audio-analysis/71JbTl4uCu1T4WO2AYvSWz,161815.0,4.0,0.0,157.33261,22050,
Can't Get You out of My Head (LaLaLa),2DAqqMDiJAIymuwbHgK5hg,213281,False,45,0.728,0.756,8.0,-4.61,0.0,0.0349,0.128,0.0141,0.151,0.294,128.043,audio_features,spotify:track:2DAqqMDiJAIymuwbHgK5hg,https://api.spotify.com/v1/tracks/2DAqqMDiJAIymuwbHgK5hg,https://api.spotify.com/v1/audio-analysis/2DAqqMDiJAIymuwbHgK5hg,213281.0,4.0,2.19429,210.01288,22050,
Tried Everything,5CrL3qnIdbRwuEL3Wnt1bM,198709,False,42,0.76,0.925,6.0,-3.94,0.0,0.0464,0.0959,0.00365,0.12,0.942,122.011,audio_features,spotify:track:5CrL3qnIdbRwuEL3Wnt1bM,https://api.spotify.com/v1/tracks/5CrL3qnIdbRwuEL3Wnt1bM,https://api.spotify.com/v1/audio-analysis/5CrL3qnIdbRwuEL3Wnt1bM,198710.0,4.0,0.0,195.22757,22050,
Another Life (feat. Alida),0NWVFwJxCMjBdTOCePlQdl,212468,False,67,0.541,0.653,5.0,-5.954,1.0,0.04,0.00531,0.0,0.126,0.264,123.854,audio_features,spotify:track:0NWVFwJxCMjBdTOCePlQdl,https://api.spotify.com/v1/tracks/0NWVFwJxCMjBdTOCePlQdl,https://api.spotify.com/v1/audio-analysis/0NWVFwJxCMjBdTOCePlQdl,212468.0,4.0,0.0,203.21524,22050,
Cry (with John Martin),1TF8rXy87zrnpBlS9TLykA,218401,False,68,0.458,0.802,1.0,-3.914,1.0,0.0416,0.0155,0.0,0.0706,0.51,145.135,audio_features,spotify:track:1TF8rXy87zrnpBlS9TLykA,https://api.spotify.com/v1/tracks/1TF8rXy87zrnpBlS9TLykA,https://api.spotify.com/v1/audio-analysis/1TF8rXy87zrnpBlS9TLykA,218402.0,4.0,0.06975,211.91112,22050,
